# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------
Day Index,Users,Sessions
02/16/2018,"61,165",62.97000241
02/17/2018,"73,359",75.8667874
02/18/2018,"68,094",52.23850648
02/19/2018,"74,921",81.97712523
02/20/2018,"48,129",50.71164723
02/21/2018,"77,952",55.22031149
02/22/2018,"52,047",80.17728193
02/23/2018,"76,056",44.721581
02/24/2018,"48,170",47.94511032
02/25/2018,"44,828",66.30543103
02/26/2018,"57,599",69.21759854
02/27/2018,"75,395",61.20530212
02/28/2018,"59,747",49.2705342
03/01/2018,"49,337",72.05247388
03/02/2018,"78,206",56.06379151
03/03/2018,"40,055",42.00316163
03/04/2018,"49,638",77.45776398
03/05/2018,"66,951",47.37653434
03/06/2018,"68,726",76.2517023
03/07/2018,"69,943",53.89672797
03/08/2018,"60,509",69.75645266
03/09/2018,"54,866",48.41524664
03/10/2018,"49,487",77.5491305
03/11/2018,"57,601",44.95992959
03/12/2018,"64,354",54.96084217
03/13/2018,"76,597",49.54703353
03/14/2018,"40,919",48.47377153
03/15/2018,"74,450",77.19470541
03/16/2018,"43,182",52.0422082
03/17/2018,"57,848",51.31005533
03/18/2018,"42,449",75.50898344
03/19/2018,"62,067",62.84193299
03/20/2018,"71,383",45.26573331
03/21/2018,"56,280",63.13975668
03/22/2018,"41,446",76.57257861
03/23/2018,"44,657",45.27853639
03/24/2018,"76,035",82.17496014
03/25/2018,"60,203",64.10222111
03/26/2018,"68,205",53.86237152
03/27/2018,"59,876",62.61815465
03/28/2018,"53,727",68.13000942
03/29/2018,"60,912",46.65673196
03/30/2018,"63,817",64.69419579
03/31/2018,"69,738",49.29848225
04/01/2018,"74,826",66.12917936
04/02/2018,"73,599",58.42449328
04/03/2018,"40,576",70.42748962
04/04/2018,"66,300",81.08001983
04/05/2018,"67,141",59.02706886
04/06/2018,"40,395",60.99550582
04/07/2018,"54,902",61.7798675
04/08/2018,"75,759",68.88693285
04/09/2018,"74,442",55.61185443
04/10/2018,"67,552",81.87770222
04/11/2018,"47,466",70.59266131
04/12/2018,"51,757",44.29486133
04/13/2018,"67,198",49.48152539
04/14/2018,"65,591",50.99977723
04/15/2018,"76,546",60.4851929
04/16/2018,"54,078",73.42937441
04/17/2018,"65,983",69.45251216
04/18/2018,"63,780",77.257569
04/19/2018,"46,250",77.18826711
04/20/2018,"50,736",73.28255157
04/21/2018,"51,582",50.10687386
04/22/2018,"53,966",58.87699173
04/23/2018,"78,975",63.55400729
04/24/2018,"51,580",65.41684937
04/25/2018,"63,608",61.06072702
04/26/2018,"51,871",56.05747325
04/27/2018,"71,439",70.08086766
04/28/2018,"51,270",71.31111421
04/29/2018,"46,595",78.00771372
04/30/2018,"59,146",59.06293999
05/01/2018,"50,474",63.49833658
05/02/2018,"78,284",72.89161853
05/03/2018,"75,439",67.79605788
05/04/2018,"50,325",65.49894826
05/05/2018,"73,275",48.0931888
05/06/2018,"65,989",64.60964972
05/07/2018,"74,396",53.01831596
05/08/2018,"48,438",70.56174968
05/09/2018,"52,273",49.20934718
05/10/2018,"47,242",44.47412214
05/11/2018,"65,540",78.99456529
05/12/2018,"73,293",53.020505
05/13/2018,"74,883",58.40375322
05/14/2018,"63,897",83.64202916
05/15/2018,"65,873",79.8556787
05/16/2018,"69,523",74.7621699
05/17/2018,"67,129",42.84035337
05/18/2018,"63,344",68.27745842
05/19/2018,"70,583",74.37991443
05/20/2018,"44,751",45.36901187
05/21/2018,"71,650",80.01581205
05/22/2018,"45,365",67.17999667
05/23/2018,"48,013",83.59634955
05/24/2018,"52,833",74.59184478
05/25/2018,"59,114",70.2987532
05/26/2018,"54,039",59.93422369
05/27/2018,"47,029",81.98311761
05/28/2018,"41,536",62.43095512
05/29/2018,"70,910",59.75272038
05/30/2018,"48,490",70.97564269
05/31/2018,"54,381",58.76464081
06/01/2018,"49,249",64.26253292
06/02/2018,"45,679",81.14465917
06/03/2018,"42,478",50.12281991
06/04/2018,"43,559",52.85303488
06/05/2018,"49,558",50.73532328
06/06/2018,"72,518",54.77893204
06/07/2018,"74,348",55.31111264
06/08/2018,"54,351",43.58464819
06/09/2018,"75,993",75.8749911
06/10/2018,"47,017",73.32947288
06/11/2018,"73,567",81.79031283
06/12/2018,"49,611",78.7532807
06/13/2018,"56,550",61.1503356
06/14/2018,"57,113",64.43066937
06/15/2018,"46,519",83.73993349
06/16/2018,"67,596",64.08310225
06/17/2018,"55,352",55.37994926
06/18/2018,"72,690",82.06769846
06/19/2018,"77,148",74.49077549
06/20/2018,"55,798",68.24957268
06/21/2018,"47,232",61.61231651
06/22/2018,"63,333",72.18574374
06/23/2018,"77,377",42.23294813
06/24/2018,"57,343",66.90299874
06/25/2018,"64,338",73.95905606
06/26/2018,"61,024",58.18688033
06/27/2018,"54,303",77.49030992
06/28/2018,"42,740",78.43899516
06/29/2018,"68,405",60.20771182
06/30/2018,"77,321",47.7132425
07/01/2018,"41,405",51.68535682
07/02/2018,"67,163",79.83296542
07/03/2018,"47,737",55.65481936
07/04/2018,"61,091",76.28999049
07/05/2018,"71,243",50.39964695
07/06/2018,"75,307",44.36229259
07/07/2018,"60,441",79.26304823
07/08/2018,"70,222",83.10289148
07/09/2018,"64,224",61.21837897
07/10/2018,"65,125",42.89818825
07/11/2018,"61,186",53.28560185
07/12/2018,"61,627",81.9191738
07/13/2018,"70,813",58.59450238
07/14/2018,"73,971",55.78376612
07/15/2018,"45,568",77.94439849
07/16/2018,"64,355",47.99792499
07/17/2018,"52,186",53.64586968
07/18/2018,"61,293",67.71366143
07/19/2018,"62,434",60.80623825
07/20/2018,"60,358",70.99950101
07/21/2018,"68,874",54.55867376
07/22/2018,"65,384",73.57782169
07/23/2018,"70,115",51.04357109
07/24/2018,"48,032",42.31308609
07/25/2018,"44,034",67.28462326
07/26/2018,"41,316",53.63244131
07/27/2018,"49,703",73.52738141
07/28/2018,"47,458",77.44053608
07/29/2018,"60,478",51.34070912
07/30/2018,"41,802",49.19309483
07/31/2018,"76,266",68.87900528
08/01/2018,"53,109",81.96116859
08/02/2018,"43,757",63.90784862
08/03/2018,"40,550",69.2610929
08/04/2018,"41,860",73.38576848
08/05/2018,"64,900",80.64712281
08/06/2018,"72,276",64.59654962
08/07/2018,"40,582",55.55294007
08/08/2018,"65,342",80.67968694
08/09/2018,"57,462",52.80512052
08/10/2018,"41,380",63.63557692
08/11/2018,"60,178",49.81689768
08/12/2018,"44,340",63.50248993
08/13/2018,"72,157",48.90084756
08/14/2018,"75,244",70.53073315
08/15/2018,"78,859",83.21641586
08/16/2018,"62,654",72.94099658
08/17/2018,"41,537",48.20790888
08/18/2018,"53,177",51.99984566
08/19/2018,"64,124",57.45087564
08/20/2018,"67,026",49.6170645
08/21/2018,"53,811",66.45454596
08/22/2018,"66,324",64.15024326
08/23/2018,"53,227",79.41007912
08/24/2018,"76,311",61.10606242
08/25/2018,"45,375",71.10683252
08/26/2018,"78,690",48.97737114
08/27/2018,"63,777",56.51288559
08/28/2018,"75,933",68.20849601
08/29/2018,"78,226",49.793003
08/30/2018,"42,894",57.34772513
08/31/2018,"67,427",56.18275069
09/01/2018,"45,899",67.41717137
09/02/2018,"62,042",48.18941205
09/03/2018,"69,618",67.16867931
09/04/2018,"47,884",78.28814252
09/05/2018,"78,595",56.46839888
09/06/2018,"55,688",81.41289298
09/07/2018,"44,452",50.04945953
09/08/2018,"52,870",52.82075625
09/09/2018,"60,906",58.25882349
09/10/2018,"71,453",63.81985229
09/11/2018,"57,576",49.15076451
09/12/2018,"40,973",66.96079988
09/13/2018,"46,392",71.95058934
09/14/2018,"58,686",53.05326191
09/15/2018,"52,648",48.41331244
09/16/2018,"40,744",52.34400765
09/17/2018,"53,914",43.52707057
09/18/2018,"67,444",57.53292647
09/19/2018,"79,009",60.66463103
09/20/2018,"79,069",45.62361625
09/21/2018,"62,644",54.23497579
09/22/2018,"40,029",43.73469892
09/23/2018,"62,331",65.95573725
09/24/2018,"44,550",70.82094381
09/25/2018,"43,046",50.41778324
09/26/2018,"78,490",83.70370142
09/27/2018,"50,444",79.5357964
09/28/2018,"41,598",62.00755622
09/29/2018,"74,463",42.32574819
09/30/2018,"48,935",63.80037752
10/01/2018,"63,303",70.20720285
10/02/2018,"43,633",56.16937449
10/03/2018,"50,042",68.48354184
10/04/2018,"58,816",64.77720318
10/05/2018,"49,723",83.97735917
10/06/2018,"70,310",62.01969446
10/07/2018,"51,440",43.45598212
10/08/2018,"58,335",59.0623068
10/09/2018,"60,284",82.40813827
10/10/2018,"70,326",76.5405679
10/11/2018,"66,483",82.29989817
10/12/2018,"76,333",75.21623846
10/13/2018,"71,911",82.11500054
10/14/2018,"66,453",46.39984061
10/15/2018,"76,203",65.09360442
10/16/2018,"65,617",56.95259086
10/17/2018,"73,272",79.53153189
10/18/2018,"48,982",51.80141881
10/19/2018,"60,491",52.77898501
10/20/2018,"47,393",50.76272504
10/21/2018,"53,932",46.95967056
10/22/2018,"50,339",83.44046455
10/23/2018,"41,224",53.92484665
10/24/2018,"73,358",82.60950018
10/25/2018,"41,516",46.28877028
10/26/2018,"71,320",76.67028224
10/27/2018,"69,650",57.84539209
10/28/2018,"44,911",48.07762436
10/29/2018,"53,061",66.73831874
10/30/2018,"62,457",70.09317086
10/31/2018,"46,456",50.95924567
11/01/2018,"61,848",45.87830856
11/02/2018,"41,069",80.49187723
11/03/2018,"76,354",49.70154347
11/04/2018,"53,435",65.42750509
11/05/2018,"64,417",51.98840755
11/06/2018,"60,655",75.84131407
11/07/2018,"40,098",42.41658923
11/08/2018,"55,656",51.77150207
11/09/2018,"46,136",45.98879779
11/10/2018,"56,055",48.60647729
11/11/2018,"63,763",63.64647596
11/12/2018,"75,984",68.21187212
11/13/2018,"48,017",59.63494376
11/14/2018,"40,085",54.67757592
11/15/2018,"60,297",77.639398
11/16/2018,"76,244",44.67302368
11/17/2018,"66,444",72.87179429
11/18/2018,"79,533",76.29342908
11/19/2018,"51,404",71.7907295
11/20/2018,"73,613",49.6139605
11/21/2018,"54,531",66.35026063
11/22/2018,"51,208",77.3948676
11/23/2018,"73,757",81.78438511
11/24/2018,"56,394",70.88414706
11/25/2018,"57,843",76.76223774
11/26/2018,"55,784",78.43132979
11/27/2018,"52,129",53.97330093
11/28/2018,"75,103",46.73496831
11/29/2018,"50,846",57.01578713
11/30/2018,"70,586",52.45628633
12/01/2018,"66,155",79.17658339
12/02/2018,"73,127",68.71048953
12/03/2018,"51,795",63.1996692
12/04/2018,"45,722",44.30836989
12/05/2018,"77,671",64.50292745
12/06/2018,"63,406",60.1755763
12/07/2018,"44,916",60.36874318
12/08/2018,"75,961",42.68403761
12/09/2018,"73,204",78.44482234
12/10/2018,"50,214",72.36030102
12/11/2018,"49,572",48.69912194
12/12/2018,"75,831",42.49680998
